,NAME,TEAM,elo
513,Anthony Sasso,High Point,1012.859519
514,Nolan Dozier,St. Mary's (Cal.),1012.67429
515,Anthony Camerieri,Miami (Ohio),1012.25
516,Luis Martinez,Oklahoma State,1012.236684
517,Zach Stewart,Eastern Kentucky,1012.039668
518,Samuel Abascal,Eastern Kentucky,1011.96439
519,David Coffey,Miami (Ohio),1011.641859
520,Gabe Mudel,Michigan,1011.392819
521,Sean Miller,Simon Fraser,1011.385842
522,Jarrett Mattingly,Morehead State,1011.355264
523,Paxton Smith,Colorado,1011.1
524,Riley Campbell,Boise State,1010.684778
525,Josh Routh,East Tenn. St.,1010.511744
526,Michael Melgares,Kansas,1010.343814
527,Alex Rogers,Texas,1010.024495
528,Adam Wise,LSU,1009.875
529,Jakob Kintzele,Princeton,1009.592971
530,Tommy McDonough,Auburn,1009.575
531,Marlin Young,USC Upstate,1009.109519
532,Anthony Schmalz,Montana State,1008.703576
533,Alex Tam,Unattached,1008.5
534,Carlos Vargas,Simon Fraser,1007.785842
535,Matthew Watkins,Washington St.,1007.561998
536,Jordan Carrington,Morehead State,1007.530264
537,Mitch Halpern,Binghamton,1007.514553
538,ALBERT STEINER,Unattached,1007.425
539,Vincent Zona,Notre Dame,1007.424428
540,Stokton Smith,Utah State,1007.330513
541,Jared Pangallozzi,Johns Hopkins,1007.070097
542,Brad Cheek,Samford,1006.886744
543,Ryan Burd,Marquette,1006.5557
544,Jonathan Lee,UC Riverside,1006.25
545,Reed Brown,UNATTACHED-1,1005.95
546,Everett Smulders,Ole Miss,1005.8
547,Eion Nohilly,Georgetown,1005.776736
548,Nick Heath,Pepperdine,1005.74929
549,William Wise,Presbyterian,1005.434519
550,Trent Mandato,Furman,1005.42082
551,Charlie Harders,Unattached,1004.85
552,Anthony Ocegueda,Utah Valley,1004.441859
553,Darius Riley,Unattached,1004.210842
554,Joacim Zuniga,Texas Tech,1003.993409
555,Alec Hartman,Bradley,1003.936998
556,Matt Scarpill,St. Joseph's (Pa.),1003.839553
557,Stephen Haas,Northern Colorado,1003.8
558,Jayson Hines,Stony Brook,1003.520097
559,nathan Watson,Chattanooga,1003.311744
560,Cale Kilian,Indiana State,1002.675
561,Devin Wulff,Portland,1002.325
562,Dylan Hodgson,Kansas,1002.307842
563,Andrew Forsyth,Colorado St.,1002.271169
564,Hunter Davila,Arizona,1002.267985
565,Fraser Wilson,Unattached,1001.275
566,Sam Webb,Penn,1001.187284
567,Bobby Johnson,Butler,1001.167923
568,Eric Casarez,Oklahoma,1000.916859
569,John Bennett,Unattached,1000.660842
570,Gavin Cooper,East Tenn. St.,999.8117436
571,Alex Tomasko,Penn State,999.6995148
572,Tom Gardiner,Xavier (Ohio),999.2557
573,Nick Oakley,Eastern Illinois,999.15
574,Trevor Foley,Florida,998.9729481
575,Thomas Salas,Portland,998.825
576,Nick Brey,Tennessee,998.675
577,Curt Crossley,Weber State,998.3042743
578,Konnor Sommer,Iowa,997.775
579,Joshua Sealand,Strava TC,997.1358421
580,Matt Bomkamp,Charlotte,996.8369975
581,Nathan Gillis,La Salle,996.5645531
582,Ben Garner,Samford,996.3867436
583,Matt Prest,Saint Louis,995.675
584,Zephyr Seagraves,Texas A&M,995.4979481
585,Wesley Robinson,Tennessee,995.3
586,Said Guermali,Portland,995.0626238
587,Jack Manderscheid,Minnesota,994.8498136
588,Ben Butler,Kansas,994.7872193
589,Mark Bennett,Southern Utah,994.7785763
590,Michael Tardella,USC Upstate,994.7095185
591,Zac Thompson,Miami (Ohio),994.375
592,Jaime Marcos,Eastern Illinois,994.0033871
593,Paul Stafford,Florida State,993.941859
594,John Reniewicki,Arizona State,993.6358421
595,Kaleb McLeod,Belmont,993.5213422
596,Gus Newcomb,Colorado,993.35
597,James Cragin,Georgia Tech,992.9950973
598,Dustin Jutras,George Mason,992.9645531
599,Landon Skelly,SIU Edwardsville,992.7302642
600,Matthew Bouthillette,Georgetown,992.5336597
601,Matthew Edwards,Belmont,992.3892126
602,Tevin Brown,Akron,992.2888135
603,James Nedrich,Youngstown St.,992.25
604,Carter Christman,UNATTACHED-5,992.15
605,Max Barbour,Tennessee,992.075
606,Carter Christman,Una-3,991.8126238
607,Sage Church,Longwood,991.2345185
608,Jared Garcia,New Mexico,991.0659718
609,Jeff Roberts,Iowa,991.05
610,Steven Grolle,Strava TC,990.1608421
611,Dominic Dimambro,Michigan,990.0119975
612,Nikolai Rhodes,Air Force,989.975
613,Luke Sumerford,UNC-Greensboro,989.7117436
614,Kyle Kelly,Stony Brook,989.5200973
615,Jonathan Lauer,Columbia,989.3895531
616,Roberto Porras,Utah State,989.2796468
617,Paul Ryan,Washington St.,989.2704607
618,Cooper Schroeder,Kansas State,989.2684093
619,Anthony Stone,Lane CC,989
620,Adam Johnston,Tennessee,989
