Elo rank,NAME,TEAM,elo
440,Mikey Giguere,Cal Poly,1076.785842
441,Michael Melgares,Kansas,1076.452812
442,Rob Morro,Villanova,1074.219563
443,Benjamin Scamihorn,SIU Edwardsville,1073.901373
444,Ryan Mitchell,Monmouth,1073.868389
445,Jonathan Ellis,Calvin,1073.725
446,Greg Fusco,Cornell,1073.289553
447,Alex Miley,Duke,1073.285066
448,Nicholas Ciaccia,East Carolina,1073.268548
449,Conor Murphy,Rutgers,1073.137804
450,Hunter Gilbert,Campbell,1073.117927
451,Joey DeFeo,Northern Arizona,1072.786998
452,Matthew Pereira,Harvard,1072.627892
453,Graham Brown,Arkansas,1072.536047
454,Daniel Michalski,Indiana,1072.358941
455,Matthew Murray,Rice,1072.064882
456,Bradley Wattleworth,Notre Dame,1069.626837
457,Josh Romine,Duke,1069.455175
458,Hillary Melly,Stetson,1069.280848
459,Michael McGonnigle,Connecticut,1069.239553
460,Morgan Beadlescomb,Unattached,1068.85
461,Paul Ryan,Washington St.,1068.520496
462,Bryce Quigley,Oklahoma State,1068.311998
463,Gabriel Kiprono,Tennessee Tech,1067.76101
464,Matthew Novak,Virginia,1067.270097
465,John McGowan,Penn State,1067.153465
466,Nathan Henderson,Syracuse,1065.934601
467,Garek Bielaczyc,Texas,1065.652737
468,CJ Ambrosio,Duke,1065.642879
469,Cameron Ponder,Furman,1065.422643
470,Andy Weber,George Washington,1065.214553
471,Riad Rababeh,Central Michigan,1065.125
472,Artin Allahverdian,UCLA,1064.635842
473,Patrick Schaefer,Kentucky,1064.511532
474,Johnny Pace,Virginia,1064.488814
475,Thomas George,Missouri,1064.150295
476,Zach Lefever,Pittsburgh,1063.759862
477,John Benner,Vermont,1063.595265
478,Owen Bailey,Samford,1063.498277
479,Matthew Courtenay,Iona,1063.150046
480,Bailey McIntire,Purdue,1062.623093
481,Jared Garcia,New Mexico,1062.595715
482,Zach Boone,UNC-Asheville,1062.059519
483,Zephyr Seagraves,Texas A&M,1061.726986
484,Istvan Szogi,Florida State,1060.97255
485,Christian Kazanjian,Duquesne,1060.9
486,Rowan Doherty,Simon Fraser,1060.660842
487,Michael Downey,Wyoming,1060.158304
488,Andre Hillsman,Tennessee,1059.921833
489,Daniel Pederson,Marquette,1059.6807
490,Dereck Elkins,Texas State,1059.614882
491,Cameron Field,Tulsa,1059.059323
492,Craig Corti,Wake Forest,1058.711013
493,Liam Conway,UNA-Stanford,1058.671684
494,Luke Jaciw-Zurakowsky,La Salle,1058.262361
495,Spencer Smucker,High Point,1057.684519
496,Hunter Boyer,Air Force,1057.342341
497,Tomas Reimer,Cornell,1057.239553
498,Michael Guerrero,UT-Arlington,1056.929055
499,Cam Trout,Indiana State,1056.725
500,Nick Brey,Tennessee,1056.715253
501,Luis Chavez,San Jose St.,1056.710842
502,Sam Lomax,Portland,1056.009071
503,Alexander Kushen,Dartmouth,1055.495097
504,Mark Middleton,Tulsa,1055.186998
505,Noah Charles,East Tenn. St.,1054.561744
506,Michael Ottesen,BYU,1054.475
507,Thomas Little,UNC-Asheville,1053.359519
508,Brackin Stewart,Troy,1053.355848
509,Liam Purdy,American,1053.289553
510,Cameron Proceviat,Unattached,1052.785842
511,Caleb Ferguson,Calvin,1052.6
512,Steve Neumaier,Cornell,1052.314938
513,Taylor Dillon,Weber State,1052.256798
514,Andrew Burkhardt,California,1051.534534
515,Karson Sommer,Iowa,1050.513049
516,Tevin Brown,Akron,1050.311703
517,Jake Hanawalt,Purdue,1050.257777
518,Davone Hernandez,VMI,1050.236744
519,Dallin Farnsworth,BYU,1049.875
520,Silas Griffith,Lipscomb,1049.455848
521,Austin Wicker,Eastern Michigan,1049.160111
522,Sage Turner,UNC-Asheville,1049.084519
523,Clayton Mendez,UNA-Stanford,1048.885842
524,Bashir Mosavel-Lo,Virginia Tech,1048.538814
525,TJ Sugg,Baylor,1048.5
526,Braeden Collins,Georgia Tech,1047.613918
527,Jackson Felkins,Pepperdine,1047.528198
528,Cooper Teare,Una-7,1047.487624
529,Omer Almog,UT-Rio Grande Valley,1047.414882
530,Ben Fleming,Virginia Tech,1046.281491
531,Evert Silva,Portland,1045.970775
532,Ben Bryant,Samford,1045.961744
533,Chase Cayo,South Dakota St.,1045.605513
534,Jacob Lee,Michigan,1045.430988
535,Benjamin Doiron,American,1045.414553
536,Xian Shively,Unattached,1045.010842
537,Joe Limo,Radford,1044.859519
538,Joe Limo,Radford,1044.859519
539,Mark Beckmann,Central Michigan,1044.425
540,Remi Schyns,Eastern Kentucky,1043.967118
541,ABABU MOHAMMED,Tennessee Tech,1043.680264
542,Andres Sandoval,Sacramento St.,1043.528576
543,Matthew Bromley,Miami (Ohio),1043.491339
544,Awet Beraki,Stephen F. Austin,1043.414882
545,Zach Swenson,Villanova,1042.987994
546,Satchel Caldwell,Colorado St.,1042.7
547,Harry Powell,Temple,1042.33256
548,Trevor Reinhart,Yale,1041.517946
549,Danny Dominguez,Adams State,1041.160842
550,Matt Fusco,Cornell,1041.078765
551,Danny Kilrea,Unattached,1040.9
552,Siro Pina Cardona,High Point,1040.684519
553,Justin Varineau,Calvin,1040.4
554,Alec Esposito,North Texas,1039.439882
555,Kody Gould,Utah State,1039.429647
556,Jeryck Wilson,Charleston Southern,1038.290986
557,Justin Hazell,Una-8,1038.187624
558,Jon Klaiber,Marquette,1038.0557
559,Matthew Scarr,East Tenn. St.,1037.636744
560,Mitchell Sanders,Georgia Tech,1037.448539
561,Munir Kabbara,UCLA,1037.335842
562,Will Battershill,Harvard,1037.317985
563,Barry Keane,Butler,1036.730331
564,Jonathan Johnson,USC Upstate,1036.559519
565,Porter Reddish,BYU,1036.55
566,Chandler Lorf,Central Michigan,1036.425
567,Maximilliano Martinez,Colorado St.,1036.341845
568,Aaron Wier,Morehead State,1035.355264
569,Skylar Ovnicek,Idaho,1035.353576
570,Scott Johnson,Air Force,1035.196023
571,Michael Karls,Navy,1034.987361
572,MICHAEL MOONEY,Unattached,1034.425
573,Noah Perkins,North Florida,1034.105848
574,Robert Wagner,Minnesota,1033.903341
575,Tristan Peloquin,Portland,1033.687624
576,Adam Bradtmueller,East Tenn. St.,1033.561744
577,Pierre-Louis Detourbe,Simon Fraser,1033.535842
578,Ryan Kutch,Fordham,1033.24791
